 time            v(vout)        
 5.41280000e-03  1.29248666e-07 
 5.42280000e-03  1.28961125e-07 
 5.43280000e-03  1.28697760e-07 
 5.44280000e-03  1.28462783e-07 
 5.45280000e-03  1.28259762e-07 
 5.46280000e-03  1.28091958e-07 
 5.47280000e-03  1.27961884e-07 
 5.48280000e-03  1.27871660e-07 
 5.49280000e-03  1.27822589e-07 
 5.50280000e-03  1.27815532e-07 
 5.51280000e-03  1.27850499e-07 
 5.52280000e-03  1.27927046e-07 
 5.53280000e-03  1.28043885e-07 
 5.54280000e-03  1.28199297e-07 
 5.55280000e-03  1.28390766e-07 
 5.56280000e-03  1.28615409e-07 
 5.57280000e-03  1.28869624e-07 
 5.58280000e-03  1.29149541e-07 
 5.59280000e-03  1.29450682e-07 
 5.60280000e-03  1.29768430e-07 
 5.61280000e-03  1.30097698e-07 
 5.62280000e-03  1.30433407e-07 
 5.63280000e-03  1.30770168e-07 
 5.64280000e-03  1.31102765e-07 
 5.65280000e-03  1.31425836e-07 
 5.66280000e-03  1.31734359e-07 
 5.67280000e-03  1.32023337e-07 
 5.68280000e-03  1.32288270e-07 
 5.69280000e-03  1.32524837e-07 
 5.70280000e-03  1.32729363e-07 
 5.71280000e-03  1.32898477e-07 
 5.72280000e-03  1.33029573e-07 
 5.73280000e-03  1.33120448e-07 
 5.74280000e-03  1.33169745e-07 
 5.75280000e-03  1.33176570e-07 
 5.76280000e-03  1.33140908e-07 
 5.77280000e-03  1.33063228e-07 
 5.78280000e-03  1.32944867e-07 
 5.79280000e-03  1.32787617e-07 
 5.80280000e-03  1.32594086e-07 
 5.81280000e-03  1.32367263e-07 
 5.82280000e-03  1.32110863e-07 
 5.83280000e-03  1.31828866e-07 
 5.84280000e-03  1.31525856e-07 
 5.85280000e-03  1.31206540e-07 
 5.86280000e-03  1.30876078e-07 
 5.87280000e-03  1.30539596e-07 
 5.88280000e-03  1.30202504e-07 
 5.89280000e-03  1.29870013e-07 
 5.90280000e-03  1.29547451e-07 
 5.91280000e-03  1.29239779e-07 
 5.92280000e-03  1.28951916e-07 
 5.93280000e-03  1.28688265e-07 
 5.94280000e-03  1.28453040e-07 
 5.95280000e-03  1.28249809e-07 
 5.96280000e-03  1.28081834e-07 
 5.97280000e-03  1.27951629e-07 
 5.98280000e-03  1.27861314e-07 
 5.99280000e-03  1.27812193e-07 
 6.00280000e-03  1.27805128e-07 
 6.01280000e-03  1.27840127e-07 
 6.02280000e-03  1.27916747e-07 
 6.03280000e-03  1.28033698e-07 
 6.04280000e-03  1.28189264e-07 
 6.05280000e-03  1.28380925e-07 
 6.06280000e-03  1.28605800e-07 
 6.07280000e-03  1.28860284e-07 
 6.08280000e-03  1.29140508e-07 
 6.09280000e-03  1.29441991e-07 
 6.10280000e-03  1.29760115e-07 
 6.11280000e-03  1.30089792e-07 
 6.12280000e-03  1.30425942e-07 
 6.13280000e-03  1.30763173e-07 
 6.14280000e-03  1.31096267e-07 
 6.15280000e-03  1.31419861e-07 
 6.16280000e-03  1.31728932e-07 
 6.17280000e-03  1.32018478e-07 
 6.18280000e-03  1.32283999e-07 
 6.19280000e-03  1.32521172e-07 
 6.20280000e-03  1.32726317e-07 
 6.21280000e-03  1.32896063e-07 
 6.22280000e-03  1.33027800e-07 
 6.23280000e-03  1.33119324e-07 
 6.24280000e-03  1.33169274e-07 
 6.25280000e-03  1.33176753e-07 
